,x,y,z,projection,Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B46D1530_1,195043.0,402159.0,12.22,epsg:28992,B46D1530,001,,195043,402159,1600,01-01-2010,01-01-2010,14-09-2018,1659,59,1272,1172
B46D1531_1,192518.0,402347.0,14.6,epsg:28992,B46D1531,001,,192518,402347,1820,01-01-2010,01-01-2010,14-09-2018,1920,100,1510,1410
B46D1505_1,194412.0,406181.0,8.47,epsg:28992,B46D1505,001,,194412,406181,1412,10-10-2016,10-10-2016,05-04-2018,1450,38,897,797
B46D0364_2,191624.0,405046.0,4.32,epsg:28992,B46D0364,002,46DP0364,191624,405046,1445,17-01-2011,17-01-2011,13-09-2018,1527,82,482,382
B46D0832_1,191476.0,406758.0,10.62,epsg:28992,B46D0832,001,46DP0103,191476,406758,1317,07-01-2011,07-01-2011,13-09-2018,1406,89,1112,1012
B46D0833_1,191510.0,406540.0,11.27,epsg:28992,B46D0833,001,46DP0104,191510,406540,1342,21-03-1989,21-03-1989,11-04-2013,1332,-10,1177,1077
B52B0404_1,193330.0,399680.0,,epsg:28992,B52B0404,001,52BL0002,193330,399680,,,14-05-1985,28-12-1989,,1,,
B46D1027_1,197690.0,403750.0,10.68,epsg:28992,B46D1027,001,46DP7011,197690,403750,1270,27-09-1990,27-09-1990,01-08-2001,1286,16,1093,1043
B46C0180_1,189300.0,407180.0,,epsg:28992,B46C0180,001,46CL0019,189300,407180,,,28-08-1964,28-04-1972,,-3,,
B46D1026_1,196950.0,403525.0,9.72,epsg:28992,B46D1026,001,46DP7010,196950,403525,1191,27-09-1990,27-09-1990,01-08-2001,1199,8,997,947
B46D0822_2,190650.0,406065.0,7.5600000000000005,epsg:28992,B46D0822,002,46DP0088,190650,406065,1402,22-03-1989,22-11-1994,28-01-2003,1399,-3,806,706
B46D0823_2,191900.0,405995.0,7.08,epsg:28992,B46D0823,002,46DP0089,191900,405995,1355,15-09-1980,15-09-1980,14-09-1984,1339,-16,758,658
B46D0729_1,193448.0,401196.0,12.87,epsg:28992,B46D0729,001,46DP0053,193448,401196,1896,05-01-2011,05-01-2011,14-09-2018,1981,85,1337,1237
B46D0728_1,192824.0,401606.0,10.54,epsg:28992,B46D0728,001,46DP0052,192824,401606,1884,17-12-2010,17-12-2010,14-09-2018,1969,85,1104,1004
B52B1790_1,193660.0,398504.0,17.775,epsg:28992,B52B1790,001,,193660,398504,2260,01-01-2010,01-01-2010,14-09-2018,2368,108,1828,1727
B46D1004_1,193201.0,400714.0,15.49,epsg:28992,B46D1004,001,46DL0040,193201,400714,1935,07-01-2011,07-01-2011,14-09-2018,2019,84,1599,1499
B46D1005_1,193905.0,400203.0,15.760000000000002,epsg:28992,B46D1005,001,46DL0044,193905,400203,1909,03-01-2011,03-01-2011,14-09-2018,1992,83,1626,1526
B46D0357_1,190882.0,407243.0,9.94,epsg:28992,B46D0357,001,46DP0357,190882,407243,1307,13-08-1976,10-01-2011,13-09-2018,1392,85,1044,944
B46D0798_1,195510.0,403300.0,5.75,epsg:28992,B46D0798,001,46DP0023,195510,403300,1418,29-09-1987,26-05-1992,28-04-1994,1419,1,625,525
B46D1550_1,195862.0,405478.0,,epsg:28992,B46D1550,001,,195862,405478,1120,19-07-2016,19-07-2016,07-12-2020,1174,53,,
B46D1551_1,195917.0,405250.0,,epsg:28992,B46D1551,001,,195917,405250,1110,19-07-2016,19-07-2016,07-12-2020,1159,48,,
B46D0811_1,190920.0,406220.0,7.199999999999999,epsg:28992,B46D0811,001,46DP0068,190920,406220,1319,15-02-1978,15-02-1978,28-10-1985,1310,-9,820,620
B46D0810_1,191030.0,406385.0,8.05,epsg:28992,B46D0810,001,46DP0067,191030,406385,1344,15-02-1978,15-02-1978,28-10-1985,1360,16,905,705
B46D0734_1,191970.0,405945.0,12.0,epsg:28992,B46D0734,001,46DP0099,191970,405945,1363,17-09-1984,17-09-1984,28-01-1992,1354,-9,1250,1150
B46D0735_1,191126.0,406333.0,10.55,epsg:28992,B46D0735,001,46DP0106,191126,406333,1307,10-01-2011,10-01-2011,13-09-2018,1305,-2,1105,1005
B52B0589_1,194889.0,398818.0,17.8,epsg:28992,B52B0589,001,,194889,398818,2058,03-12-1984,03-12-1984,14-09-2018,2151,,1930,1630
B46D0792_1,194430.0,406610.0,4.9399999999999995,epsg:28992,B46D0792,001,46DB0013,194430,406610,1244,14-06-1950,14-10-1960,14-10-1969,1244,0,844,144
B46D0793_1,194490.0,406314.0,6.59,epsg:28992,B46D0793,001,46DB0014,194490,406314,1439,14-06-1950,14-10-1960,28-12-2000,1449,10,1009,309
B46D0825_1,192556.0,406313.0,9.24,epsg:28992,B46D0825,001,46DP0091,192556,406313,1388,12-09-2017,12-09-2017,31-10-2019,1454,79,1024,824
